stage,wellplate,wells,Locations
my_stage ,0,H3,my_stage 0 H3
my_stage ,0,H4,my_stage 0 H4
my_stage ,0,H5,my_stage 0 H5
my_stage ,0,H6,my_stage 0 H6
my_stage ,0,H7,my_stage 0 H7
my_stage ,0,I3,my_stage 0 I3
my_stage ,0,I4,my_stage 0 I4
my_stage ,0,I5,my_stage 0 I5
my_stage ,0,I6,my_stage 0 I6
my_stage ,0,I7,my_stage 0 I7
my_stage ,0,J3,my_stage 0 J3
my_stage ,0,J4,my_stage 0 J4
my_stage ,0,J5,my_stage 0 J5
my_stage ,0,J6,my_stage 0 J6
my_stage ,0,J7,my_stage 0 J7
my_stage ,0,K3,my_stage 0 K3
my_stage ,0,K4,my_stage 0 K4
my_stage ,0,K5,my_stage 0 K5
my_stage ,0,K6,my_stage 0 K6
my_stage ,0,K7,my_stage 0 K7
my_stage ,0,L3,my_stage 0 L3
my_stage ,0,L4,my_stage 0 L4
my_stage ,0,L5,my_stage 0 L5
my_stage ,0,L6,my_stage 0 L6
my_stage ,0,L7,my_stage 0 L7
my_stage ,0,M3,my_stage 0 M3
my_stage ,0,M4,my_stage 0 M4
my_stage ,0,M5,my_stage 0 M5
my_stage ,0,M6,my_stage 0 M6
my_stage ,0,M7,my_stage 0 M7
my_stage ,0,N3,my_stage 0 N3
my_stage ,0,N4,my_stage 0 N4
my_stage ,0,N5,my_stage 0 N5
my_stage ,0,N6,my_stage 0 N6
my_stage ,0,N7,my_stage 0 N7
